Timestamp,NP Chiller High Level Status WCC_N_1_1_Motor FLA Loading,NP Chiller Hard-wired Status WCC_NP_1_1_FM_01_FR,NP Chiller High Level Status WCC_N_1_1_Running Hours,condensing_delta_t,chilled_delta_t,small_delta_t,NP WCC Power WCC_1_1_Power,cluster,cluster_id
2026-02-06 08:15:00,37,148.3652,5371.0,2.5,2.7,0.5,0.0,1,30
2026-02-06 08:18:00,38,153.6458,5371.0,2.5,2.8,0.8000000000000007,0.0,1,30
2026-02-06 08:27:00,39,150.897,5372.0,2.6000000000000014,2.8,0.6999999999999993,0.0,1,30
2026-02-06 08:30:00,38,151.331,5372.0,2.6000000000000014,2.8,0.5999999999999979,0.0,1,30
2026-02-06 08:36:00,41,160.3009,5372.0,2.599999999999998,2.8,0.9000000000000021,0.0,1,29
2026-02-06 08:42:00,39,156.7564,5372.0,2.8000000000000007,2.9000000000000004,0.5999999999999979,0.0,1,121
2026-02-06 21:30:00,53,60.47454,5372.0,2.6000000000000014,8.4,2.599999999999998,0.0,1,1231
2026-02-06 21:45:00,61,160.0116,5372.0,4.699999999999999,5.0,1.4000000000000021,0.0,1,657
2026-02-06 21:51:00,59,151.548,5372.0,4.5,5.1,1.5,0.0,1,671
2026-02-06 21:54:00,59,151.1863,5372.0,4.599999999999998,5.199999999999999,1.3000000000000007,0.0,1,430
2026-02-06 22:00:00,59,148.4375,5372.0,4.599999999999998,5.199999999999999,1.3000000000000007,0.0,1,430
2026-02-06 22:06:00,51,121.5278,5373.0,4.099999999999998,5.3999999999999995,0.9000000000000021,0.0,1,1673
2026-02-06 22:09:00,50,118.0555,5373.0,3.8000000000000007,5.0,0.8000000000000007,0.0,1,564
2026-02-07 08:42:00,50,94.11169,5373.0,2.3999999999999986,3.0999999999999996,2.0,0.0,1,1110
2026-02-07 08:48:00,44,145.11,5373.0,3.5,3.9000000000000004,0.40000000000000213,0.0,1,112
2026-02-07 08:51:00,42,139.7569,5373.0,3.1000000000000014,3.7,0.6000000000000014,0.0,1,942
2026-02-07 08:54:00,43,136.8634,5373.0,3.099999999999998,3.7,0.8000000000000007,0.0,1,942
2026-02-07 08:57:00,39,132.6678,5373.0,3.0,3.6000000000000005,0.3999999999999986,0.0,1,943
2026-02-07 09:09:00,39,129.5573,5373.0,2.6999999999999993,3.299999999999999,0.5,0.0,1,18
2026-02-07 09:12:00,40,124.9277,5373.0,2.599999999999998,3.3000000000000007,0.6999999999999993,0.0,1,19
2026-02-07 09:21:00,38,133.9699,5373.0,2.6000000000000014,3.1999999999999993,0.5999999999999979,0.0,1,19
2026-02-07 09:24:00,39,131.2211,5373.0,2.6000000000000014,3.200000000000001,0.5,0.0,1,19
2026-02-07 09:27:00,38,132.6678,5373.0,2.6000000000000014,3.1999999999999993,0.5,0.0,1,19
2026-02-07 09:30:00,39,132.0891,5374.0,2.6000000000000014,3.1999999999999993,0.5,0.0,1,19
2026-02-07 09:33:00,40,135.5613,5374.0,2.6000000000000014,3.1999999999999993,0.6999999999999993,0.0,1,19
2026-02-07 09:51:00,44,151.1863,5374.0,3.1000000000000014,3.5,0.8000000000000007,0.0,1,111
2026-02-07 09:54:00,45,150.246,5374.0,3.200000000000003,3.700000000000001,0.7999999999999972,0.0,1,111
2026-02-07 10:00:00,47,145.544,5374.0,3.3000000000000007,3.8000000000000007,0.9000000000000021,0.0,1,111
2026-02-07 10:03:00,47,149.5226,5374.0,3.400000000000002,3.8000000000000007,0.8000000000000007,0.0,1,112
2026-02-07 10:12:00,49,148.2928,5374.0,3.5,3.999999999999999,1.0,0.0,1,710
2026-02-07 10:36:00,52,147.4971,5375.0,3.700000000000003,4.3999999999999995,1.0999999999999979,0.0,1,711
2026-02-07 10:42:00,52,151.331,5375.0,3.8000000000000007,4.199999999999999,1.1000000000000014,0.0,1,711
2026-02-07 10:51:00,54,159.2882,5375.0,3.8000000000000007,4.200000000000001,2.8000000000000007,0.0,1,705
2026-02-07 10:57:00,47,122.9022,5375.0,3.799999999999997,4.3999999999999995,0.10000000000000142,0.0,1,1789
2026-02-07 11:00:00,45,131.004,5375.0,3.3000000000000007,4.4,0.8000000000000007,0.0,1,953
2026-02-07 11:06:00,46,129.919,5375.0,3.6999999999999993,4.4,1.0,0.0,1,1789
2026-02-07 11:09:00,46,125.5787,5375.0,3.900000000000002,4.4,0.8999999999999986,0.0,1,1789
2026-02-07 11:15:00,46,128.1829,5375.0,4.0,4.4,0.8999999999999986,0.0,1,1790
2026-02-07 11:18:00,45,126.3744,5375.0,3.900000000000002,4.4,0.6999999999999993,0.0,1,1789
2026-02-07 11:21:00,47,127.3872,5375.0,4.099999999999998,4.5,0.9000000000000021,0.0,1,1790
2026-02-07 11:27:00,48,127.2425,5375.0,4.100000000000001,4.5,0.8999999999999986,0.0,1,1790
2026-02-07 11:33:00,46,124.7106,5376.0,3.8999999999999986,4.300000000000001,0.8999999999999986,0.0,1,1789
2026-02-07 11:36:00,46,126.2298,5376.0,3.8999999999999986,4.200000000000001,0.6999999999999993,0.0,1,1789
2026-02-07 11:39:00,46,125.5064,5376.0,3.8999999999999986,4.199999999999999,0.6999999999999993,0.0,1,1789
2026-02-07 11:42:00,46,127.0255,5376.0,3.8999999999999986,4.300000000000001,0.8000000000000007,0.0,1,1789
2026-02-07 11:45:00,46,126.3744,5376.0,3.8999999999999986,4.300000000000001,0.8000000000000007,0.0,1,1789
2026-02-07 11:48:00,46,124.783,5376.0,4.0,4.5,0.6999999999999993,0.0,1,1790
2026-02-07 12:03:00,49,123.4086,5376.0,4.199999999999999,4.700000000000001,1.0,0.0,1,1803
2026-02-07 12:06:00,48,122.3958,5376.0,4.199999999999999,4.9,0.8999999999999986,0.0,1,1803
2026-02-07 12:12:00,49,119.864,5376.0,4.399999999999999,5.0,0.8000000000000007,0.0,1,1802
2026-02-07 12:15:00,49,121.4554,5376.0,4.300000000000001,4.9,0.8000000000000007,0.0,1,1803
2026-02-07 12:18:00,49,124.4213,5376.0,4.399999999999999,4.9,0.8000000000000007,0.0,1,1803
2026-02-07 12:27:00,51,126.9531,5376.0,4.400000000000002,4.9,1.0,0.0,1,1809
2026-02-07 12:33:00,50,125.434,5377.0,4.399999999999999,4.9,1.0,0.0,1,1803
2026-02-07 12:36:00,50,124.349,5377.0,4.399999999999999,5.0,1.0,0.0,1,1803
2026-02-07 12:45:00,50,124.0596,5377.0,4.300000000000001,5.0,0.9000000000000021,0.0,1,1803
2026-02-07 12:48:00,50,120.5874,5377.0,4.300000000000001,5.0,0.8000000000000007,0.0,1,1803
2026-02-07 12:54:00,50,127.9659,5377.0,4.300000000000001,4.9,0.8000000000000007,0.0,1,1803
2026-02-07 12:57:00,52,129.2679,5377.0,4.5,5.0,1.0,0.0,1,572
2026-02-07 17:09:00,52,133.4635,5381.0,4.600000000000001,4.800000000000001,0.8999999999999986,0.0,1,1809
2026-02-07 17:18:00,52,134.9103,5381.0,4.600000000000001,4.9,1.0,0.0,1,1809
2026-02-07 17:21:00,52,133.5359,5381.0,4.599999999999998,4.9,0.8000000000000007,0.0,1,1809
2026-02-07 17:48:00,49,119.43,5382.0,4.600000000000001,5.1000000000000005,0.6999999999999993,0.0,1,1802
2026-02-07 17:51:00,48,121.1661,5382.0,4.5,5.1000000000000005,0.6999999999999993,0.0,1,1802
2026-02-07 17:54:00,48,120.081,5382.0,4.300000000000001,4.9,0.5,0.0,1,1803
2026-02-07 18:12:00,46,115.7407,5382.0,4.100000000000001,4.800000000000001,0.5999999999999979,0.0,1,1674
2026-02-07 18:18:00,48,124.566,5382.0,4.100000000000001,4.800000000000001,0.8999999999999986,0.0,1,1803
2026-02-07 18:21:00,48,124.0596,5382.0,4.199999999999999,4.800000000000001,1.0,0.0,1,1803
2026-02-07 18:24:00,48,123.2639,5382.0,4.300000000000001,4.9,0.6999999999999993,0.0,1,1803
2026-02-07 18:42:00,50,124.0596,5383.0,4.300000000000001,4.800000000000001,0.8999999999999986,0.0,1,1803
2026-02-07 18:48:00,50,125.434,5383.0,4.300000000000001,4.800000000000001,0.8999999999999986,0.0,1,1803
2026-02-07 18:51:00,49,125.651,5383.0,4.300000000000001,4.800000000000001,0.8999999999999986,0.0,1,1803
2026-02-07 18:57:00,49,126.3744,5383.0,4.300000000000001,4.800000000000001,0.8999999999999986,0.0,1,1803
